html,title,duration,date_watched,C1,B2,B1,A2,A1
https://www.youtube.com/watch?v=ujmGgKXNkO0,Learn Norwegian: How to use quantifiers in Norwegian. MYE/MANGE :-),250,2022-05-18 17:00:40.254063,,,,,
https://www.youtube.com/watch?v=xBROzO7B0WM,Video 17 Norske idiomer 9 og 10 Å være i vinden + Å være mange om beinet,204,2022-05-18 17:14:22.625600,,,,,
https://www.youtube.com/watch?v=Qw9Hb3JRJ5c,Learn Norwegian: Norwegian idioms 17 and 18,223,2022-05-18 17:16:11.011527,,,,,
https://www.youtube.com/watch?v=yk4YqoUcy5E,Video 18 Norske idiomer 11 og 12 Å gå på skinner + Å ta en spansk en,278,2022-05-19 18:58:17.320134,,,,,
https://www.youtube.com/watch?v=NtLb4Cp9cC0,Learn Norwegian: Norwegian idioms 19 and 20,282,2022-05-19 19:14:37.242170,,,,,
https://www.youtube.com/watch?v=p22Ukafw0w8,Video 19 Imperativ form av verb,229,2022-05-19 19:23:06.660228,,,,,
https://www.youtube.com/watch?v=xwcMeqMZ4SE,"Learn Norwegian: Read, write and talk! Imperative form of verbs",189,2022-05-19 19:26:01.271996,,,,,
https://www.youtube.com/watch?v=gIqU_VWalcA,Video 20 Norske idiomer 13 og 14 Å ha svin på skogen + Å ha ryggrad,353,2022-05-19 19:34:00.682306,,,,,
https://www.youtube.com/watch?v=P-OS5h_S2V4,Learn Norwegian: Norwegian idioms 21 and 22,270,2022-05-19 19:35:25.223703,,,,,
https://www.youtube.com/watch?v=7Lbkuwb7YWk,"Video 21 Verbgruppe 1,2,3,4 for regelrette verb :-)",1151,2022-05-20 11:12:43.278885,,,,,
https://www.youtube.com/watch?v=5fVJlEzY1cQ,"Video 22 Leke og spille, hva er forskjellen?",270,2022-05-20 11:18:13.719786,,,,,
https://www.youtube.com/watch?v=TakWQS294Jo,Video 23 Norske idiomer 15 Å sove som en stein,155,2022-05-20 11:31:15.089850,,,,,
https://www.youtube.com/watch?v=kAnV1QS-6oE,Video 24 Syng norske sanger: Sommerfuggel i vinterland :-),532,2022-05-20 11:46:02.610443,,,,,
https://www.youtube.com/watch?v=ARudHRf1KuA,Video 25 TID på norsk:  I / OM / FOR........SIDEN,409,2022-05-20 11:53:34.439069,,,,,
https://www.youtube.com/watch?v=ssHv8vCVN1I,Learn Norwegian: Time in Norwegian  I/OM/FOR......SIDEN,251,2022-05-20 11:54:01.139589,,,,,
https://www.youtube.com/watch?v=Su_Z7DiiIHg,"Video 26  BEGGE TO, BEGGE DELER, BÅDE-OG?",601,2022-05-20 12:05:47.847615,,,,,
https://www.youtube.com/watch?v=MRDakwTYeOk,Video 27 Norske idiomer 16 Å falle mellom to stoler,224,2022-05-20 12:10:05.263261,,,,,
https://www.youtube.com/watch?v=moJlGP-9LR0,Video 28 Norske idiomer 17 Alfa og omega,183,2022-05-20 12:10:25.196851,,,,,
https://www.youtube.com/watch?v=XeWteYZAg80,"Video 29 NORSKKURS PÅ NETT, hva er det? Jeg forteller om å lære norsk online :-)",483,2022-05-22 06:05:25.310204,,,,,
https://www.youtube.com/watch?v=-HspZ1xgQUY,Video 30 TALL på norsk. 54 = femti-fire eller fire-og-femti?,346,2022-05-22 06:08:16.310726,,,,,
https://www.youtube.com/watch?v=k7TxICF5KBQ,Video 31 Hva er forskjellen på TRØTT og SLITEN?,268,2022-05-22 06:13:41.415469,,,,,
https://www.youtube.com/watch?v=N3CegaSGSLc,Video 32 Rare norske lyder! Komisk!,274,2022-05-22 06:19:14.225026,,,,,
https://www.youtube.com/watch?v=L_f_g8hdpq0,Video 33 STÅ eller LIGGE? SETTE eller LEGGE?,465,2022-05-22 06:29:08.038556,,,,,
https://www.youtube.com/watch?v=-xzkQVCJPXY,Video 34 Syng norske sanger! TROLLMOR :-),272,2022-05-22 06:35:06.096114,,,,,
https://www.youtube.com/watch?v=tOSpcyaM8lE,Video 35 Norske idiomer 18 Å møte seg selv i døra,297,2022-05-22 06:40:38.743834,,,,,
https://www.youtube.com/watch?v=xyzMOP2xzYk,Video 36 Norske idiomer 19 Å være en drittsekk,263,2022-05-22 06:45:35.913071,,,,,
https://www.youtube.com/watch?v=Qk6RYV1Tro4,Video 37 Eiendomspronomen  MIN-DIN-SIN-SITT-HANS-HENNES,882,2022-05-22 07:22:25.057109,,,,,
https://www.youtube.com/watch?v=yWiyhjVhWc4,Video 38 Modale hjelpeverb MÅ:MÅTTE-SKAL:SKULLE-VIL:VILLE-KAN:KUNNE-BØR:BURDE,606,2022-05-22 07:32:58.883037,,,,,
https://www.youtube.com/watch?v=wsVgrVYLJ7Y,Video 39 Å GÅ - Å DRA - Å REISE. Du kan ikke GÅ til Australia! :-),337,2022-05-22 07:39:11.764503,,,,,
https://www.youtube.com/watch?v=Bw3_Wf_tFyA,"Video 40 Verb nummer 2, VIKTIG!",738,2022-05-22 07:57:11.132484,,,,,
https://www.youtube.com/watch?v=KYvR-M4tb6o,Video 41 Hvordan bruker vi IKKE på norsk. A1-B2 nivå,967,2022-05-22 08:19:06.069419,,1.0,1.0,1.0,1.0
https://www.youtube.com/watch?v=GTiPQrHraWE,Video 42 EN - EI eller ET??? Substantiv på norsk :-),901,2022-05-22 08:44:41.648361,,,,,
https://www.youtube.com/watch?v=urvDUMPH6xE,Video 43 Å VITE eller Å KJENNE?,445,2022-05-22 08:52:39.705176,,,,,
https://www.youtube.com/watch?v=Moh4281f5bU,"Video 44 Norske idiomer 20 Har man sagt A, må man si B!",200,2022-05-22 08:56:34.975376,,,,,
https://www.youtube.com/watch?v=ZyLhLZtAwtg,Video 45 Norsk uttale KJ-LYD: KJØTT - KYLLING - KINO - TJENE - KEITETE??,332,2022-05-22 09:05:48.711608,,,,,
https://www.youtube.com/watch?v=eOwJfV0Vekk,Video 46 Norsk uttale O og U!,421,2022-05-22 09:06:21.351342,,,,,
https://www.youtube.com/watch?v=1sDn3rR_EJg,Video 47 Preposisjonene TIL og FOR :-) Ikke lett!!!,747,2022-05-22 09:27:22.763370,,,,,
https://www.youtube.com/watch?v=cZ0t-94jAPs,"Video 48 Norsk uttale Æ-lyd: her, der, lære, hei :-)",233,2022-05-22 09:32:24.850699,,,,,
https://www.youtube.com/watch?v=tA0MZnAi3QE,"Video 49 Norsk uttale Y: mye, kylling, synge :)",239,2022-05-22 09:37:00.364596,,,,,
https://www.youtube.com/watch?v=PvJsPb70kSA,Video 50 Lyst til eller lyst på?,202,2022-05-22 09:41:00.202035,,,,,
https://www.youtube.com/watch?v=sSKZUNx2zz0,Video 51 Hvordan bruker vi JO på norsk?,235,2022-05-22 09:45:20.869798,,,,,
https://www.youtube.com/watch?v=4rxrjoUb344,"Video 52 VÆRE eller BLI? Det ER vanskelig med norsk, men du BLIR bedre etterhvert!",428,2022-05-23 13:26:53.157258,,,,,
https://www.youtube.com/watch?v=Ju0K4Wcwyag,Video 53 Å FÅ eller å HA? To verb som ofte blir blandet....,329,2022-05-23 13:33:00.791170,,,,,
https://www.youtube.com/watch?v=MF7GdV4K7_E,"Video 54 SKAL eller VIL?  Jeg skal jobbe, men vil dra på ferie!",329,2022-05-23 13:39:00.144507,,,,,
https://www.youtube.com/watch?v=oxG915H5X0g,Video 55 Forskjellen mellom Å GJØRE og Å LAGE,282,2022-05-23 13:44:45.122390,,,,,
https://www.youtube.com/watch?v=DHOjTdgmkXY,Video 56 B1-B2 nivå: plassering av adverbialer i SOM og AT setninger,822,2022-05-23 13:59:14.320071,,1.0,1.0,,
https://www.youtube.com/watch?v=DpD_PdPdj2w,"Video 57 INGENTING, IKKE NOE, IKKE NOEN og INGEN! Hjelp!!!! :)",691,2022-05-24 14:29:05.546135,,,,,
https://www.youtube.com/watch?v=XMLv1yU26qA,Video 57 Norske idiomer 21 Å være på glattisen,360,2022-05-24 14:35:55.081928,,,,,
https://www.youtube.com/watch?v=WJDippqs0a4,Video 58 Norskkurs på nett med Norwegian Teaching,676,2022-05-24 14:38:39.986076,,,,,
https://www.youtube.com/watch?v=J_2JvNOil-w,Video 59 Demonstrativer DEN/DENNE-DET/DETTE-DE/DISSE,534,2022-05-24 14:49:42.901144,,,,,
https://www.youtube.com/watch?v=bT3tCMUXiOg,"Video 60 MENNESKER, PERSONER eller FOLK? Hva bruker vi?",471,2022-05-24 14:58:03.889058,,,,,
https://www.youtube.com/watch?v=fZMKlVpEFqU,Video 61 Norske idiomer 22 Ikke ta sorgene på forskudd,266,2022-05-24 15:04:00.083317,,,,,
https://www.youtube.com/watch?v=rUIXqSqtpGU,Video 62 ALL/ALT/ALLE eller HEL/HELT/HELE?!,703,2022-05-24 15:16:38.336367,,,,,
https://www.youtube.com/watch?v=Ch2ZALWUIaw,Video 63 I eller PÅ??? 2 forvirrende preposisjoner!,1053,2022-05-24 15:35:34.660628,,,,,
https://www.youtube.com/watch?v=Msf8a56Km9Q,Video 64 50 timer samfunnskunnskapskurs på nett med Norwegian Teaching,304,2022-05-25 10:52:45.267918,,,,,
https://www.youtube.com/watch?v=u9VZy385YKQ,"Video 65 Sammensatte ord. 2 ord i 1 ord: en kontorstol, en babystol :-)",831,2022-05-25 11:07:02.157395,,,,,
https://www.youtube.com/watch?v=GX0c34wBj5I,Video 66 Forskjellig eller annerledes?,418,2022-05-25 11:14:32.199777,,,,,
https://www.youtube.com/watch?v=fR2HhxJvRIw,"Video 67 Norsk høflighet: Takk, tusen takk, tusen hjertelig :-)",393,2022-05-25 11:21:37.892926,,,,,
https://www.youtube.com/watch?v=vpwWMKIoAxw,Video 68 KUN eller BARE? Jeg forklarer forskjellen :-),276,2022-05-25 11:26:44.832728,,,,,
https://www.youtube.com/watch?v=8AcIDHCIn0Y,Video 69 Rare norske småord: Jøss! Næmen? Jaha? Jasså?,255,2022-05-25 11:31:05.382222,,,,,
https://www.youtube.com/watch?v=Pm4kzrkXPlM,Video 70 Norske idiomer 23 Hipp som happ og ett fett,259,2022-05-25 11:35:56.084147,,,,,
https://www.youtube.com/watch?v=8k3A46JCkbU,Video 71 Hva sier vi når vi ikke forstår noe???,303,2022-05-25 11:41:30.224597,,,,,
https://www.youtube.com/watch?v=BXhmYTdXWeA,Video 72 Norsk uttale ØØØØØØØØØØØØØØØØØ!,400,2022-05-25 11:43:04.363835,,,,,
https://www.youtube.com/watch?v=7LbtBdOoR2g,"Video 73 Unnskyld, beklager eller sorry?",600,2022-05-25 11:54:01.634937,,,,,
https://www.youtube.com/watch?v=47FzJ8XYHGE,Video 74 HEI og HA DET på norsk :-),314,2022-05-25 12:01:02.016502,,,,,
https://www.youtube.com/watch?v=oVyX06ROqJk,Video 75 SLIK eller SÅNN?,466,2022-05-25 12:09:15.148585,,,,,
https://www.youtube.com/watch?v=dDMzaBH2l3U,Video 76 Norske idiomer 24 Ikke mitt bord,200,2022-05-25 12:13:28.908869,,,,,
https://www.youtube.com/watch?v=fMNT6RJut4g,Video 77 Verbformer: preteritum eller presens perfektum? LESTE eller HAR LEST?,373,2022-05-25 12:20:21.737644,,,,,
https://www.youtube.com/watch?v=ShbgVTZxk7c,Video 78 Kjærlighet på norsk: Jeg elsker deg! Jeg er glad i deg!,278,2022-05-25 12:25:39.791086,,,,,
https://www.youtube.com/watch?v=46rB0c3hJPs,Video 79 Norske idiomer 25 Kryss i taket,177,2022-05-25 14:17:19.428820,,,,,
https://www.youtube.com/watch?v=fAQuBCsTReI,"Video 80 For nivå B1, B2 og Bergenstesten: Setningsstartere i en argumenterende tekst.",638,2022-05-26 12:34:22.915116,,1.0,1.0,,
https://www.youtube.com/watch?v=UmBJl6xhwxk,"Video 81 Uttale NG-lyd: TING, MANGE, PENGER....",455,2022-05-26 12:42:01.450743,,,,,
https://www.youtube.com/watch?v=FJK2Z-TKGqc,Video 82 HIT eller HER? DIT eller DER?,403,2022-05-26 12:48:47.094105,,,,,
https://www.youtube.com/watch?v=5ZEzG-9I6B8,Video 83 Temaer på norskprøve B1 muntlig.,940,2022-05-26 13:04:28.953288,,,1.0,,
https://www.youtube.com/watch?v=xXd0ArS-ZTc,Video 84 Temaer for norskprøve B2 muntlig.,693,2022-05-26 13:17:02.569427,,1.0,,,
https://www.youtube.com/watch?v=pTupdVDFBsQ,Video 85 Temaer for norskprøve A2 muntlig.,678,2022-05-27 15:44:27.816160,,,,1.0,
https://www.youtube.com/watch?v=xNZRp_TyB-w,Video 86 Temaer for norskprøve A1 muntlig.,572,2022-05-27 15:54:03.619512,,,,,1.0
https://www.youtube.com/watch?v=m-DKiLCwLWw,Video 87 Siste eller forrige?,319,2022-05-27 15:59:25.494201,,,,,
https://www.youtube.com/watch?v=jooxOv7H4Aw,"Video 88 Når bruker vi EGEN, EGET og EGNE?",272,2022-05-27 16:04:00.850751,,,,,
https://www.youtube.com/watch?v=cUUcQCEnzoI,"Video 89 Hvordan bruke ordet SOM??? A1, A2, B1, B2, Bergenstesten.",712,2022-05-27 16:15:55.984164,,1.0,1.0,1.0,1.0
https://www.youtube.com/watch?v=y4HraXsuwK4,Video 90 Ord mange uttaler feil 1,484,2022-05-31 12:56:16.901867,,,,,
https://www.youtube.com/watch?v=LxX6QohbPGU,"Video 91 Kondisjonalis 1 og 2 for B1, B2 og Bergenstesten",792,2022-05-31 13:09:32.709363,,1.0,1.0,,
