English,Infinitive,Present tense,Past tense,Past participle,Ending,A2
compare,å sammenlikne,sammenlikner,sammenliknet,har sammenliknet,,
lack,å savne,savner,savnet,har savnet,,
see,å se,ser,så,har sett,,Y
sell,å selge,selger,solgte,har solgt,,Y
send,å sende,sender,sendte,har sendt,te,
serve,å servere,serverer,serverte,har servert,,
set/put/place,å sette,setter,satte,har satt,,Y
"say, tell",å si,sier,sa,har sagt,,Y
"ooze, seep",å sige,siger,"seg, seig",har seget,,
aim,å sikte,sikter,siktet,har siktet,,
sit,å sitte,sitter,satt,har sittet,,Y
"change, switch",å skite,skiter,skeit,har skitt,,
cut,å skjære,skjærer,skar,har skåret,te,Y
happen,å skje,skjer,skjedde,har skjedd,,
tremble,å skjelve,skjelver,skalv,har skjelvet,,
understand,å skjønne,skjønner,skjønte,har skjønt,te,
glide,å skli,sklir,"skled, sklei",har sklidd,,
to scare,å skremme,skremmer,skremte,har skremt,te,
proceed,å skride,skrider,"skred, skrei",har skredet,,
scream,å skrike,skriker,"skrek, skreik",har skreket,,
write,å skrive,skriver,skrev,har skrevet,,Y
screw,å skru,skrur,skrudde,har skrudd,,
boast,å skryte,skryter,"skrøt, *skrytte",har skrytt,,
"should, shall",å skulle,skal,skulle,har skullet,,Y
splash,å skvette,skvetter,skvatt,har skvettet,,
wash,å skylle,skyller,skylte,har skylt,,
hasten,å skynde,skynder,skyndte,har skyndet,,
shoot,å skyte,skyter,"skjøt, skøyt",har skutt,,
"push, shove",å skyve,skyver,"skjøv, skøyv",har skjøvet,,
"hit, strike",å slå,slår,slo,har slått,,Y
to realx,å slappe,slapper,slappet,har slappet,et,
fight,å slåss,slåss,sloss,har slåss,,
throw,å slenge,slenger,slang,har slengt,,
drop,å slippe,slipper,slapp,har sluppet,,Y
toil,å slite,sliter,"slet, sleit",har slitt,,
"end, close",å slutte,slutter,sluttet,har sluttet,et,
taste,å smake,smaker,smaket,har smaket,,
"bang, smack",å smelle,smeller,smalt,har smelt,,
smile,å smile,smiler,smilte,har smilt,te,
apply make up,å sminke,sminker,sminket,har sminket,,
infect,å smitte,smitter,smittet,har smittet,,
"oil, lubricate",å smøre,smører,smurte,har smurt,,
sneak,å smyge,smyger,"smøg, smøyg",har smøget,,
"speak, talk",å snakke,snakker,snakket,har snakket,,
move slowly,å snegle,snegler,sneglet,har sneglet,,
sneak,å snike,sniker,snek,har sneket,,Y
snow,å snø,snør,snødde,har snødd,dde,
cheat,å snyte,snyter,"snøt, *snytte",har snytt,,
seek,å søke,søker,søkte,har søkt,,
sleep,å sove,sover,sov,har sovet,,Y
fall asleep,å sovne,sovner,sovnet,har sovnet,,
spend,å spandere,spanderer,spanderte,har spandert,,
"save, be economical",å spare,sparer,sparte,har spart,,
kick,å sparke,sparker,sparket,har sparket,,
nail,å spikre,spikrer,spikret,har spikret,,
play,å spille,spiller,spilte,har spilt,te,
spin,å spinne,spinner,spant,har spunnet,,
eat,å spise,spiser,spiste,har spist,te,
ask,å spørre,spør,spurte,har spurt,,Y
"crack, burst",å sprekke,sprekker,sprakk,har sprukket,,
bounce,å sprette,spretter,spratt,har sprettet,,
"spring, leap",å springe,springer,sprang,har sprunget,,
"stand, stand up",å stå,står,stod,har stått,,Y
start,å starte,starter,startet,har startet,,
"roast, fry, bake",å steke,steker,stekte,har stekt,te,
manage,å stelle,steller,stelte,har stelt,,
"vote, agree",å stemme,stemmer,stemte,har stemt,te,
summon,å stevne,stevner,stevnet,har stevnet,,
climb,å stige,stiger,"steg, steig",har steget,,
stick,å stikke,stikker,stakk,har stukket,,
"put, place",å stille,stiller,stilte,har stilt,,
steal,å stjele,stjeler,stjal,har stjålet,,Y
stop,å stoppe,stopper,stoppet,har stoppet,,
stretch,å strekke,strekker,strakk,har strukket,,
struggle,å stri,strir,stred,har stridd,,
knit,å strikke,strikker,strikket,har strikket,,
stroke,å stryke,stryker,strøk,har strøket,,Y
study,å studere,studerer,studerte,har studert,te,
"answer, reply",å svare,svarer,svarte,har svart,te,
swear,å sverge,sverger,"svor, *sverget, *sverga","har svoret, sverget, sverga",,
swear,å sverje,sverjer,"svor, *sverjet, *sverja","har svoret, sverjet, sverja",,
