Date,Verb,C1,Infinitive,C2,PresentTense,C3,PastTense,C4,PastParticiple,Ending,Irregular,Percent,
10/01/2021 00:00,like,,å like,,liker,,likte,,har likt,te,,100,
10/01/2021 00:00,listen,,å lytte,,lytter,,har lyttet,,har lytt,et,,50,
10/01/2021 00:00,to fix,,å fixe,,ordner,,ordnet,,har ordnet,et,,75,
10/01/2021 00:00,fit,,å fitte,,passer,,paset,,har past,et,,25,
10/01/2021 00:00,"try, attempt",,å df,,prøver,,prøvde,,har prøvd,de,,75,
10/01/2021 00:00,"clean, polish",,å rene,,pusser,,pustte,,har pust,et,,25,
10/01/2021 00:00,to breathe,,å puste,,puster,,pustet,,har pustet,et,,100,
10/01/2021 00:00,ring,,å ringe,,ringer,,ringte,,har ringt,te,,100,
10/01/2021 00:00,"call, shout",,å rope,,roper,,ropte,,har ropt,te,,100,
10/01/2021 00:00,tidy,,å ridde,,rydder,,ryddet,,har ryddet,et,,75,
10/01/2021 00:00,to realx,,å slape,,slapper,,slappet,,har slappet,et,,75,
10/01/2021 00:00,send,,å sende,,sender,,sente,,har sent,te,,50,
10/01/2021 00:00,cut,,å skjære,,skjærer,,skjærte,,har skjært,te,Y,50,
10/01/2021 00:00,understand,,å skjenne,,skjønner,,skjønnte,,har skjønt,,Y,50,
10/01/2021 00:00,to scare,,å d,,skremmer,,skremmte,,har skremt,te,,50,
